Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
14-07-2020,94.0643024,96.45955108,93.10968071,96.26367188,170989200,0,0,AAPL
15-07-2020,98.18035791,98.43575151,95.70080543,96.92570496,153198000,0,0,AAPL
16-07-2020,95.7727136,96.60832157,95.1205901,95.73303986,110577600,0,0,AAPL
17-07-2020,96.19424018,96.3529276,95.05611895,95.5396347,92186800,0,0,AAPL
20-07-2020,95.62890433,97.69436823,95.27680455,97.55303192,90318000,0,0,AAPL
21-07-2020,98.36137399,98.43823952,95.95124853,96.20664215,103433200,0,0,AAPL
22-07-2020,95.90164784,97.17365946,95.81238758,96.47690582,89001600,0,0,AAPL
23-07-2020,96.20415789,96.28350539,91.25745504,92.08562469,197004400,0,0,AAPL
24-07-2020,90.24332216,92.20960561,88.41588549,91.8575058,185438800,0,0,AAPL
27-07-2020,92.94353678,94.12876247,92.71542221,94.03453827,121214000,0,0,AAPL
28-07-2020,93.59566247,93.77667251,92.48482029,92.48978424,103625600,0,0,AAPL
29-07-2020,92.98320732,94.45110555,92.94601556,94.26265717,90329200,0,0,AAPL
30-07-2020,93.41714288,95.50988585,93.00057987,95.40326691,158130000,0,0,AAPL
31-07-2020,102.0435112,105.5446383,100.0003547,105.3909073,374336800,0,0,AAPL
03-08-2020,107.3150377,110.7244227,107.0100576,108.0465088,308151200,0,0,AAPL
04-08-2020,108.2399128,109.8838575,107.5010034,108.7680588,173071600,0,0,AAPL
05-08-2020,108.4828976,109.4895952,108.0068202,109.1622925,121776800,0,0,AAPL
06-08-2020,109.5020021,113.4767247,108.8994727,112.9708939,202428800,0,0,AAPL
07-08-2020,112.4815464,112.948544,109.5876607,110.40242,198045600,0.205,0,AAPL
10-08-2020,111.8804077,113.0479017,109.297025,112.0070953,212403600,0,0,AAPL
11-08-2020,111.2544273,111.763649,108.4102178,108.6760101,187902400,0,0,AAPL
12-08-2020,109.7913405,112.5510942,109.5926217,112.2877884,165598000,0,0,AAPL
13-08-2020,113.6987063,115.3009043,113.1994153,114.2750015,210082000,0,0,AAPL
14-08-2020,114.0961603,114.265072,112.322564,114.1731644,165565200,0,0,AAPL
17-08-2020,115.3207719,115.3456137,113.234194,113.8750687,119561600,0,0,AAPL
18-08-2020,113.6217083,115.2586787,113.2789118,114.8239746,105633600,0,0,AAPL
19-08-2020,115.2412922,116.4137515,114.8711751,114.9680481,145538000,0,0,AAPL
20-08-2020,115.0102771,117.6358915,114.9928872,117.5191422,126907200,0,0,AAPL
21-08-2020,118.5003226,124.0695059,118.4879055,123.5751877,338054800,0,0,AAPL
24-08-2020,127.8750236,127.9619735,123.1454489,125.0531769,345937600,0,0,AAPL
25-08-2020,123.9006027,124.3800174,122.2661111,124.0272827,211495600,0,0,AAPL
